Id,ProductName,Price,IsActive,Category,Rating
,Iphone 17,40004000,True,Telefon,4.6
,Iphone 17,40004000,True,Telefon,4.6
,Iphone 17,40004000,True,Telefon,4.6
Id,ProductName,PricePrice,IsActive,Category,Rating
4,Iphone 17,40004000,True,Telefon,4.6
Id,ProductName,PricePrice,IsActive,Category,Rating
4,Iphone 17,40004000,True,Telefon,4.6
Id,ProductName,PricePrice,IsActive,Category,Rating
4,Iphone 17,40004000,True,Telefon,4.6
Id,ProductName,PricePrice,IsActive,Category,Rating
4,Iphone 17,40004000,True,Telefon,4.6
Id,ProductName,PricePrice,IsActive,Category,Rating
4,Iphone 17,40004000,True,Telefon,4.6
